longitude,latitude,time,
-90.1335229,38.86140553,2024-12-29 08:22:00,
-90.13271983,38.86023463,2024-12-29 08:27:00,
-90.13271419,38.86023927,2024-12-29 08:28:00,
-90.13270387,38.86023397,2024-12-29 08:29:00,
-90.13269179,38.86013315,2024-12-29 08:31:00,
-90.13255204,38.8599789,2024-12-29 08:32:00,
-90.13225296,38.85969707,2024-12-29 08:35:00,
-90.13215398,38.85954883,2024-12-29 08:36:00,
-90.13189557,38.85906949,2024-12-29 08:40:00,
-90.13171708,38.85876401,2024-12-29 08:43:00,
-90.13146598,38.85845803,2024-12-29 08:44:00,
-90.13142686,38.858437,2024-12-29 08:45:00,
-90.13126982,38.85841117,2024-12-29 08:46:00,
-90.1309876,38.85843657,2024-12-29 08:47:00,
-90.13101087,38.8584932,2024-12-29 08:48:00,
-90.13100869,38.85849855,2024-12-29 08:49:00,
-90.13087935,38.85855956,2024-12-29 08:50:00,
-90.13092218,38.8586089,2024-12-29 08:52:00,
-90.13094787,38.85860802,2024-12-29 08:53:00,
-90.13088713,38.85851216,2024-12-29 08:54:00,
-90.13029347,38.85839542,2024-12-29 08:56:00,
-90.13014855,38.85841103,2024-12-29 08:58:00,
-90.12989193,38.85840231,2024-12-29 08:59:00,
-90.12836416,38.85783322,2024-12-29 09:11:00,
-90.12845052,38.85766327,2024-12-29 09:16:00,
-90.1279895,38.85729286,2024-12-29 09:17:00,
-90.12802642,38.85707208,2024-12-29 09:21:00,
-90.13119866,38.85912461,2024-12-29 17:11:00,
-90.13152933,38.85895997,2024-12-29 17:17:00,
-90.13165739,38.85878999,2024-12-29 17:21:00,
-90.13173119,38.8587194,2024-12-29 17:23:00,
-90.13206714,38.85872066,2024-12-29 17:34:00,
-90.13219889,38.8586573,2024-12-29 17:39:00,
-90.13249054,38.85870151,2024-12-29 17:42:00,
-90.13256991,38.8586455,2024-12-29 17:43:00,
-90.13292119,38.8586205,2024-12-29 17:47:00,
-90.13296923,38.85863548,2024-12-29 17:48:00,
-90.1330705,38.85869142,2024-12-29 17:52:00,
-90.13308657,38.85868372,2024-12-29 17:53:00,
-90.13301402,38.85884667,2024-12-29 18:05:00,
-90.13297358,38.85840289,2024-12-29 18:11:00,
-90.13301319,38.85838239,2024-12-29 18:13:00,
-90.13305689,38.85830448,2024-12-29 18:14:00,
-90.13310679,38.85824059,2024-12-29 18:16:00,
-90.13277338,38.85845957,2024-12-29 18:19:00,
-90.1325872,38.85852422,2024-12-29 18:20:00,
-90.13184367,38.85865578,2024-12-29 18:23:00,
-90.13174993,38.85871538,2024-12-29 18:25:00,
-90.13170267,38.85873734,2024-12-29 18:28:00,
-90.13170373,38.8587479,2024-12-29 18:29:00,
-90.13164909,38.85880358,2024-12-29 18:30:00,
-90.13166679,38.85884678,2024-12-29 18:31:00,
-90.13165193,38.85886315,2024-12-29 18:32:00,
-90.13156415,38.85890791,2024-12-29 18:34:00,
-90.13146072,38.85891705,2024-12-29 18:34:00,
-90.13138801,38.85895115,2024-12-29 18:35:00,
-90.13132422,38.85896391,2024-12-29 18:36:00,
-90.13121295,38.85903492,2024-12-29 18:39:00,
-90.13125315,38.85906548,2024-12-29 18:40:00,
-90.13123066,38.85902484,2024-12-29 18:43:00,
-90.13124513,38.85908151,2024-12-29 18:44:00,
-90.13123333,38.85908551,2024-12-29 18:45:00,
-90.13122785,38.8590498,2024-12-29 18:47:00,
-90.13122059,38.85905043,2024-12-29 18:48:00,
-90.12971232,38.8585192,2024-12-29 19:13:00,
-90.12675001,38.85683485,2024-12-30 02:45:00,
-90.12845992,38.85751444,2024-12-30 03:28:00,
-90.12853236,38.85765099,2024-12-30 03:31:00,
-90.12847903,38.85762389,2024-12-30 03:32:00,
-90.12845213,38.85760464,2024-12-30 03:33:00,
-90.1285274,38.85766543,2024-12-30 03:39:00,
-90.12836224,38.85759539,2024-12-30 03:41:00,
-90.12853798,38.85766864,2024-12-30 03:46:00,
-90.12845428,38.85764718,2024-12-30 03:47:00,
-90.12853403,38.85768011,2024-12-30 03:51:00,
-90.12845028,38.85761715,2024-12-30 03:54:00,
-90.12875668,38.8577323,2024-12-30 04:16:00,
-90.12865431,38.85777336,2024-12-30 04:21:00,
